price,id,name,room_type,accommodates,zipcode,bedrooms,beds,latitude,longitude,cleaning_fee,bathrooms,review_scores_rating,neighbourhood_cleansed,number_of_reviews,security_deposit,host_listings_count,neighbourhood
185.0,28085491,1 Bedroom in NYC's Lower East Side! | Chinatown,Entire home/apt,3,10002,1.0,2.0,40.71882130588622,-73.98554163656614,100.0,1.0,90.0,Lower East Side,2,300.0,22.0,Lower East Side
90.0,28090976,Chinatown Sweet Home,Private room,2,10002,1.0,1.0,40.711968031297154,-73.9967863969282,50.0,1.0,100.0,Two Bridges,2,0.0,1.0,Two Bridges
170.0,28096751,Luxury Apt 30 mins to Manhattan 2Bedroom&2Bathroom,Entire home/apt,6,11229,2.0,3.0,40.597349577591686,-73.95796555295993,70.0,1.5,98.0,Sheepshead Bay,10,100.0,10.0,Sheepshead Bay
848.0,28100333,Respectful Beautiful Harlem Room Immediate sublet,Private room,2,10037,1.0,1.0,40.81046949762752,-73.94041979071935,25.0,1.0,100.0,Harlem,3,100.0,1.0,Harlem
65.0,28100533,Studio close to free Ferry to Manhattan,Entire home/apt,3,10301,0.0,2.0,40.64148777152953,-74.08456943646932,75.0,1.5,95.0,St. George,4,250.0,2.0,St. George
55.0,28100877,Queens Apartment downtown flushing,Private room,3,11355,1.0,2.0,40.75831002480204,-73.82776291751762,25.0,1.0,100.0,Flushing,2,0.0,1.0,Flushing
143.0,28101217,Cozy Bushwick apartment with backyard!,Entire home/apt,4,11221,2.0,2.0,40.69551973123353,-73.92341096159316,30.0,1.0,80.0,Bushwick,2,0.0,2.0,Bushwick
150.0,28101852,Hip Apartment in Brooklyn w/ lots of amenities,Entire home/apt,3,11233,1.0,1.0,40.67765328824286,-73.92345210735476,40.0,1.0,100.0,Bedford-Stuyvesant,1,300.0,1.0,Bedford-Stuyvesant
48.0,28101926,Resort style living. Ferry to city 5 min walk.,Private room,2,10473,1.0,1.0,40.806442812943786,-73.8518033200502,0.0,1.0,90.0,Clason Point,4,500.0,1.0,Clason Point
49.0,28102993,"Spacious and Bright, near train, LGA and MNHTN!",Private room,2,11377,1.0,1.0,40.74412725861781,-73.90189913474919,30.0,1.0,100.0,Woodside,1,0.0,49.0,Woodside
300.0,28103408,Chic 3Bedrooms In Midtown Vibrant Location Sleep 7,Entire home/apt,7,10065,3.0,4.0,40.761492262886755,-73.96063083478198,130.0,1.0,90.0,Upper East Side,2,0.0,1.0,Upper East Side
167.0,28104895,Cozy Chelsea Downtown Studio w/ Private Backyard,Entire home/apt,2,10011,0.0,1.0,40.743630529044026,-74.00220403902844,100.0,1.0,98.0,Chelsea,11,200.0,1.0,Chelsea
209.0,28105512,HUGE Newly Renov 1 Bdrm + backyard Midtown NYC!!!,Entire home/apt,4,10016,1.0,3.0,40.74396491124461,-73.97547399370252,100.0,1.0,90.0,Kips Bay,2,300.0,1.0,Kips Bay
55.0,28107104,SPACIOUS AND PRIVATE BEDROOM NEW YORK,Private room,2,11372,1.0,1.0,40.75061032750714,-73.89363695332506,20.0,1.0,94.0,Jackson Heights,7,0.0,1.0,Jackson Heights
289.0,28107656,**Phenomenal Luxury 2 Bedroom Home in Chelsea**,Entire home/apt,7,10001,2.0,4.0,40.74943564046056,-73.99487312232226,129.0,1.0,100.0,Chelsea,2,500.0,1.0,Chelsea
52.0,28108579,Artsy room in BK,Private room,2,11233,1.0,1.0,40.6788740404921,-73.91082284502434,25.0,1.0,100.0,Bedford-Stuyvesant,2,0.0,4.0,Bedford-Stuyvesant
115.0,28109205,Private Comfortable Clean Room in NYC to Relax,Private room,4,10031,1.0,2.0,40.81987566140056,-73.95436167322984,0.0,1.0,60.0,Harlem,2,100.0,8.0,Harlem
85.0,28109244,Cozy apartment - beautiful area of Prospect Park,Private room,2,11218,1.0,1.0,40.649488407601105,-73.97393670067528,0.0,1.0,100.0,Windsor Terrace,5,0.0,1.0,Windsor Terrace
84.0,28111213,Luxurious+spacious private room 10 mins from UES,Private room,2,10454,1.0,1.0,40.81060466346397,-73.91667409849452,20.0,1.0,100.0,Mott Haven,3,250.0,1.0,Mott Haven
145.0,28111470,Bedroom (1) in Astoria near train station,Private room,2,11102,1.0,1.0,40.76577741019841,-73.92127052281226,20.0,1.0,100.0,Astoria,1,0.0,2.0,Astoria
120.0,28112266,Bedroom (2) in Astoria near train station,Private room,2,11102,1.0,1.0,40.76459863772096,-73.91977377071404,20.0,1.0,90.0,Astoria,2,0.0,2.0,Astoria
